SECID;BOARDID;SHORTNAME;PREVPRICE;LOTSIZE;FACEVALUE;STATUS;BOARDNAME;DECIMALS;SECNAME;REMARKS;MARKETCODE;INSTRID;SECTORID;MINSTEP;PREVWAPRICE;FACEUNIT;PREVDATE;ISSUESIZE;ISIN;LATNAME;REGNUMBER;PREVLEGALCLOSEPRICE;PREVADMITTEDQUOTE;CURRENCYID;SECTYPE;LISTLEVEL;SETTLEDATE
ABRD;TQBR;АбрауДюрсо;138;10;1;A;Т+: Акции и ДР - безадрес.;1;Абрау-Дюрсо ПАО ао;;FNDT;EQIN;EQ-N;0.5;138;SUR;15.01.2020;98000184;RU000A0JS5T7;Abrau-Durso ao;1-02-12500-A;138;138;SUR;1;3;20.01.2020
AFKS;TQBR;Система ао;15.6;100;0.09;A;Т+: Акции и ДР - безадрес.;3;"АФК ""Система"" ПАО ао";;FNDT;EQIN;EQ-N;0.001;15.665;SUR;15.01.2020;9650000000;RU000A0DQZE3;AFK Sistema;1-05-01669-A;15.6;15.6;SUR;1;1;20.01.2020
AFLT;TQBR;Аэрофлот;110.7;10;1;A;Т+: Акции и ДР - безадрес.;2;Аэрофлот-росс.авиалин(ПАО)ао;;FNDT;EQIN;EQ-N;0.02;110.36;SUR;15.01.2020;1110616299;RU0009062285;Aeroflot;1-01-00010-A;110.7;110.7;SUR;1;1;20.01.2020
AGRO;TQBR;AGRO-гдр;644;1;0;A;Т+: Акции и ДР - безадрес.;1;ГДР ROS AGRO PLC ORD SHS;;FNDT;EQIN;EQ-N;0.2;651.8;SUR;15.01.2020;0;US7496552057;GDR ROS AGRO PLC ORD SHS;;644;644;SUR;D;1;20.01.2020
AKRN;TQBR;Акрон;4718;1;5;A;Т+: Акции и ДР - безадрес.;0;Акрон ПАО ао;;FNDT;EQIN;EQ-N;2;4716;SUR;15.01.2020;40534000;RU0009028674;Acron;1-03-00207-A;4718;4718;SUR;1;1;20.01.2020
ALBK;TQBR;БестЭфБ ао;62;10;10;A;Т+: Акции и ДР - безадрес.;0;Бест Эффортс Банк ПАО ао;;FNDT;EQIN;EQ-N;1;62;SUR;15.01.2020;56490000;RU000A0JS2M9;Best Efforts Bank ao;10400435B;61;61;SUR;1;3;20.01.2020
ALNU;TQBR;АЛРОСА-Нюр;53400;1;25;A;Т+: Акции и ДР - безадрес.;0;АЛРОСА-Нюрба ПАО ао;;FNDT;EQIN;EQ-N;200;53400;SUR;15.01.2020;800000;RU000A0JP468;ALROSA-Nurba ao;1-01-20179-F;53400;53400;SUR;1;3;20.01.2020
ALRS;TQBR;АЛРОСА ао;90.37;10;0.5;A;Т+: Акции и ДР - безадрес.;2;АЛРОСА ПАО ао;;FNDT;EQIN;EQ-N;0.01;89.86;SUR;15.01.2020;7364965630;RU0007252813;ALROSA ao;1-03-40046-N;90.37;90.37;SUR;1;1;20.01.2020
AMEZ;TQBR;АшинскийМЗ;5.09;100;1;A;Т+: Акции и ДР - безадрес.;3; Ашинский метзавод ПАО ао;;FNDT;EQIN;EQ-N;0.005;5.065;SUR;15.01.2020;498454822;RU000A0B88G6;Ashinckiy metzavod PAO;1-03-45219-D;5.09;5.09;SUR;1;2;20.01.2020
APTK;TQBR;Аптеки36и6;11.99;10;0.64;A;Т+: Акции и ДР - безадрес.;3;"ПАО ""Аптечная сеть 36,6"" ао";;FNDT;EQIN;EQ-N;0.002;12.004;SUR;15.01.2020;6708243398;RU0008081765;Apteki 36,6;1-01-07335-A;11.99;11.99;SUR;1;2;20.01.2020
AQUA;TQBR;РусАква ао;269;10;100;A;Т+: Акции и ДР - безадрес.;1;Русская Аквакультура ПАО ао;;FNDT;EQIN;EQ-N;0.5;272.5;SUR;15.01.2020;87876649;RU000A0JQTS3;Russkaya Akvakul'tura;1-01-04461-D;267.5;267.5;SUR;1;2;20.01.2020
ARSA;TQBR;Арсагера;3.45;1000;1;A;Т+: Акции и ДР - безадрес.;2;УК Арсагера ПАО-ао;;FNDT;EQIN;EQ-N;0.01;3.45;SUR;15.01.2020;123817165;RU000A0JP0Q7;UK Arsagera;1-01-03163-D;3.45;3.45;SUR;1;3;20.01.2020
ASSB;TQBR;АстрЭнСб;0.69;1000;0.007;A;Т+: Акции и ДР - безадрес.;4;Астраханская ЭСК ПАО;;FNDT;EQIN;EQ-N;0.0005;0.6995;SUR;15.01.2020;773900078;RU000A0D8MM8;Astrakhan Energo Sbyt;1-01-55064-E;0.69;0.69;SUR;1;3;20.01.2020
AVAN;TQBR;Авангрд-ао;650;1;10;A;Т+: Акции и ДР - безадрес.;0;"АКБ ""АВАНГАРД"" ПАО ао";;FNDT;EQIN;EQ-N;10;650;SUR;15.01.2020;80700000;RU000A0DM7B3;"AKB ""AVANGARD""";10102879B;650;650;SUR;1;3;20.01.2020
BANE;TQBR;Башнефт ао;2051.5;1;1;A;Т+: Акции и ДР - безадрес.;1;Башнефть АНК ао;;FNDT;EQIN;EQ-N;0.5;2057;SUR;15.01.2020;147846489;RU0007976957;Bashneft ANK ao;1-01-00013-A;2051.5;2051.5;SUR;1;3;20.01.2020
BANEP;TQBR;Башнефт ап;1798;1;1;A;Т+: Акции и ДР - безадрес.;1;Башнефть АНК ап;;FNDT;EQIN;EQ-N;0.5;1800.5;SUR;15.01.2020;29788012;RU0007976965;Bashneft ANK ap;2-01-00013-A;1798;1798;SUR;2;3;20.01.2020
BELU;TQBR;Белуга ао;791;1;100;A;Т+: Акции и ДР - безадрес.;0;Белуга Групп ПАО ао;;FNDT;EQIN;EQ-N;1;811;SUR;15.01.2020;19400000;RU000A0HL5M1;Beluga Group ao;1-01-55052-E;791;791;SUR;1;3;20.01.2020
BISV;TQBR;БашИнСв ао;8.67;100;1;A;Т+: Акции и ДР - безадрес.;2;Башинформсвязь(ПАО) ао;;FNDT;EQIN;EQ-N;0.05;8.75;SUR;15.01.2020;949023840;RU0009059216;BashInformSvyaz ao;1-01-00011-A;8.7;8.7;SUR;1;3;20.01.2020
BISVP;TQBR;БашИнСв ап;6.63;1000;1;A;Т+: Акции и ДР - безадрес.;2;Башинформсвязь(ПАО) ап;;FNDT;EQIN;EQ-N;0.01;6.64;SUR;15.01.2020;36165270;RU0009100176;BashInformSvyaz ap;2-01-00011-A;6.63;6.63;SUR;2;3;20.01.2020
BLNG;TQBR;Белон ао;4.14;100;0.01;A;Т+: Акции и ДР - безадрес.;3;Белон ОАО ао;;FNDT;EQIN;EQ-N;0.002;4.154;SUR;15.01.2020;1150000000;RU000A0J2QG8;Belon ao;1-06-10167-F;4.14;4.14;SUR;1;3;20.01.2020
BRZL;TQBR;БурЗолото;806;1;0;A;Т+: Акции и ДР - безадрес.;0;Бурятзолото ПАО ао;;FNDT;EQIN;EQ-N;1;806;SUR;15.01.2020;7027270;RU0009288658;Buryatzoloto ao;1-06-20577-F;806;806;SUR;1;3;20.01.2020
BSPB;TQBR;БСП ао;55.8;10;1;A;Т+: Акции и ДР - безадрес.;2;"ПАО ""Банк ""Санкт-Петербург"" ао";;FNDT;EQIN;EQ-N;0.01;55.9;SUR;15.01.2020;499554000;RU0009100945;BSP;10300436B;55.8;55.8;SUR;1;1;20.01.2020
CBOM;TQBR;МКБ ао;5.81;100;1;A;Т+: Акции и ДР - безадрес.;3;МКБ ПАО ао;;FNDT;EQIN;EQ-N;0.001;5.838;SUR;15.01.2020;29829709866;RU000A0JUG31;MKB ao;10101978B;5.81;5.81;SUR;1;1;20.01.2020
CHEP;TQBR;ЧТПЗ ао;187.5;10;1;A;Т+: Акции и ДР - безадрес.;1;ЧТПЗ ПАО ао;;FNDT;EQIN;EQ-N;0.5;187.5;SUR;15.01.2020;305696336;RU0009066807;CHTPZ;1-01-00182-A;187.5;187.5;SUR;1;3;20.01.2020
CHGZ;TQBR;РН-ЗапСиб;36.4;100;0.1;A;Т+: Акции и ДР - безадрес.;1;РН-Западная Сибирь ПАО ао;;FNDT;EQIN;EQ-N;0.2;36.8;SUR;15.01.2020;26771420;RU0009082291;RN-Western Siberia ao;1-01-00185-A;36.4;36.4;SUR;1;3;20.01.2020
CHKZ;TQBR;ЧКПЗ ао;6060;1;200;A;Т+: Акции и ДР - безадрес.;0;ЧКПЗ ПАО ао;;FNDT;EQIN;EQ-N;20;6080;SUR;15.01.2020;600216;RU000A0JNST0;CKPZ;1-03-45058-D;6060;6060;SUR;1;3;20.01.2020
CHMF;TQBR;СевСт-ао;960.2;1;0;A;Т+: Акции и ДР - безадрес.;1;Северсталь (ПАО)ао;;FNDT;EQIN;EQ-N;0.2;960;SUR;15.01.2020;837718660;RU0009046510;Severstal - ao;1-02-00143-A;960.2;960.2;SUR;1;1;20.01.2020
CHMK;TQBR;ЧМК ао;2700;1;1;A;Т+: Акции и ДР - безадрес.;0;ЧМК ПАО ао;;FNDT;EQIN;EQ-N;5;2725;SUR;15.01.2020;3161965;RU0007665170;CMK;1-01-00080-A;2700;2700;SUR;1;3;20.01.2020
CNTL;TQBR;Телеграф;18.5;100;1;A;Т+: Акции и ДР - безадрес.;2;Центральный Телеграф ПАО ао;;FNDT;EQIN;EQ-N;0.05;18.6;SUR;15.01.2020;166167000;RU0007665147;Centrlnyi Telegraf;1-03-00327-A;18.5;18.5;SUR;1;3;20.01.2020
CNTLP;TQBR;Телеграф-п;15.66;100;1;A;Т+: Акции и ДР - безадрес.;2;Центральный Телеграф ПАО ап;;FNDT;EQIN;EQ-N;0.02;15.78;SUR;15.01.2020;55389000;RU0007665139;Centrlnyi Telegraf ap;2-03-00327-A;15.7;15.7;SUR;2;3;20.01.2020
DASB;TQBR;ДагСб ао;0.1095;10000;0.003;A;Т+: Акции и ДР - безадрес.;4;ао Дагестанская энергосб.комп.;;FNDT;EQIN;EQ-N;0.0001;0.1078;SUR;15.01.2020;5269115472;RU000A0F63G0;Dagestan energosbyt. company;1-01-55094-E;0.1094;0.1094;SUR;1;3;20.01.2020
DIOD;TQBR;ЗаводДИОД;5.1;100;0.01;A;Т+: Акции и ДР - безадрес.;2;Завод ДИОД ПАО ао;;FNDT;EQIN;EQ-N;0.01;5.11;SUR;15.01.2020;91500000;RU000A0JQWC1;Zavod DIOD ao;1-03-06923-A;5.1;5.1;SUR;1;3;20.01.2020
DSKY;TQBR;ДетскийМир;105.24;10;0;A;Т+: Акции и ДР - безадрес.;2;ПАО Детский мир;;FNDT;EQIN;EQ-N;0.02;106.18;SUR;15.01.2020;739000000;RU000A0JSQ90;Detsky mir;1-02-00844-A;105.24;105.24;SUR;1;1;20.01.2020
DVEC;TQBR;ДЭК ао;1.022;1000;1;A;Т+: Акции и ДР - безадрес.;3;ДЭК ПАО ао;;FNDT;EQIN;EQ-N;0.001;1.055;SUR;15.01.2020;17223107804;RU000A0JP2W1;DEC;1-01-55275-E;1.022;1.022;SUR;1;3;20.01.2020
DZRD;TQBR;iДонскЗР;2338;1;1;A;Т+: Акции и ДР - безадрес.;0;Донской завод радиодеталей ао;;FNDT;EQIN;EQ-N;2;2338;SUR;15.01.2020;343407;RU000A0JQW11;DZRD ao;1-01-02677-A;2338;2338;SUR;1;3;20.01.2020
DZRDP;TQBR;iДонскЗР п;1790;1;1;A;Т+: Акции и ДР - безадрес.;0;Донской завод радиодеталей ап;;FNDT;EQIN;EQ-N;10;1790;SUR;15.01.2020;114469;RU000A0JQW29;DZRD pref.;2-01-02677-A;1790;1790;SUR;2;3;20.01.2020
ELTZ;TQBR;Электрцинк;118.5;1;1;A;Т+: Акции и ДР - безадрес.;1;Электроцинк ПАО ао;;FNDT;EQIN;EQ-N;0.5;119;SUR;15.01.2020;1404308;RU000A0B66V1;Elektrotsink ao;1-02-30394-E;118.5;118.5;SUR;1;3;20.01.2020
ENPL;TQBR;ENPL-гдр;718.8;1;0;A;Т+: Акции и ДР - безадрес.;1;"ГДР МКПАО ""ЭН+ ГРУП"" ORD SHS";;FNDT;EQIN;EQ-N;0.2;716.8;SUR;15.01.2020;0;US29355E2081;GDR En+Group ORD SHS;;718.8;718.8;SUR;D;1;20.01.2020
ENRU;TQBR;ЭнелРос ао;0.976;1000;1;A;Т+: Акции и ДР - безадрес.;4;Энел Россия ПАО;;FNDT;EQIN;EQ-N;0.0005;0.9805;SUR;15.01.2020;35371898370;RU000A0F5UN3;Enel Russia;1-01-50077-A;0.976;0.976;SUR;1;1;20.01.2020
FEES;TQBR;ФСК ЕЭС ао;0.20396;10000;0.5;A;Т+: Акции и ДР - безадрес.;5;ФСК ЕЭС ПАО ао;;FNDT;EQIN;EQ-N;0.00002;0.20418;SUR;15.01.2020;1.27467E+12;RU000A0JPNN9;FSK EES;1-01-65018-D;0.20396;0.20396;SUR;1;1;20.01.2020
FESH;TQBR;ДВМП ао;8.45;100;1;A;Т+: Акции и ДР - безадрес.;2;ДВ морское пароходство ПАО ао;;FNDT;EQIN;EQ-N;0.01;8.55;SUR;15.01.2020;2951250000;RU0008992318;DVMP ao;1-03-00032-A;8.45;8.45;SUR;1;3;20.01.2020
FIVE;TQBR;FIVE-гдр;2095;1;0;A;Т+: Акции и ДР - безадрес.;1;ГДР X5 RetailGroup N.V.ORD SHS;;FNDT;EQIN;EQ-N;0.5;2106.5;EUR;15.01.2020;271572872;US98387E2054;GDR X5 RetailGroup N.V.ORD SHS;;2095;2095;SUR;D;1;20.01.2020
FTRE;TQBR;БУДУЩЕЕ ао;80;1;1000;A;Т+: Акции и ДР - безадрес.;1;Финансовая группа БУДУЩЕЕ ао;;FNDT;EQIN;EQ-N;0.1;80;SUR;15.01.2020;50293125;RU000A0JWNX4;FG FUTURE ao;1-01-50531-A;80;80;SUR;1;2;20.01.2020
GAZA;TQBR;ГАЗ ао;437;10;1;A;Т+: Акции и ДР - безадрес.;1;ГАЗ ПАО ао;;FNDT;EQIN;EQ-N;0.5;436.5;SUR;15.01.2020;18520260;RU0009034268;Gaz ao;1-01-00029-A;438;438;SUR;1;3;20.01.2020
GAZAP;TQBR;ГАЗ ап;393;10;1;A;Т+: Акции и ДР - безадрес.;1;ГАЗ ПАО ап;;FNDT;EQIN;EQ-N;0.5;390.5;SUR;15.01.2020;1453500;RU000A0ZYHF5;Gaz (pref);2-02-00029-A;392.5;392.5;SUR;2;3;20.01.2020
GAZC;TQBR;ГАЗКОН-ао;295;10;10;A;Т+: Акции и ДР - безадрес.;0;ГАЗКОН (ПАО) ао;;FNDT;EQIN;EQ-N;1;295;SUR;15.01.2020;185125000;RU000A0JQG86;Gazkon ao;1-01-09870-A;295;295;SUR;1;3;20.01.2020
GAZP;TQBR;ГАЗПРОМ ао;251.3;10;5;A;Т+: Акции и ДР - безадрес.;2;Газпром (ПАО) ао;;FNDT;EQIN;EQ-N;0.01;250.2;SUR;15.01.2020;23673512900;RU0007661625;Gazprom;1-02-00028-A;251.3;251.3;SUR;1;1;20.01.2020
GAZS;TQBR;ГАЗ-сервис;293;10;10;A;Т+: Акции и ДР - безадрес.;0;ГАЗ-сервис (ПАО) ао;;FNDT;EQIN;EQ-N;1;293;SUR;15.01.2020;206508967;RU000A0JQG78;Gaz-servis ao;1-01-09871-A;293;293;SUR;1;3;20.01.2020
GAZT;TQBR;ГАЗ-Тек ао;85;10;100;A;Т+: Акции и ДР - безадрес.;1;ГАЗ-Тек ПАО ао;;FNDT;EQIN;EQ-N;0.5;85;SUR;15.01.2020;471428300;RU000A0JS199;GAZ-Tek PAO ao;1-01-12996-A;85;85;SUR;1;3;20.01.2020
GCHE;TQBR;ЧеркизГ-ао;2010.5;1;0;A;Т+: Акции и ДР - безадрес.;1;Группа Черкизово ПАО-ао;;FNDT;EQIN;EQ-N;0.5;2068.5;SUR;15.01.2020;43963773;RU000A0JL4R1;Cherkizovo Group ao;1-02-10797-A;2010.5;2010.5;SUR;1;3;20.01.2020
GEMA;TQBR;iММЦБ ао;759;1;0.1;A;Т+: Акции и ДР - безадрес.;1;ПАО ММЦБ ао;;FNDT;EQIN;EQ-N;0.5;764.5;SUR;15.01.2020;1492992;RU000A100GC7;IMCB PJSC;1-01-85932-H;759;759;SUR;1;3;20.01.2020
GMKN;TQBR;ГМКНорНик;20396;1;1;A;Т+: Акции и ДР - безадрес.;0;"ГМК ""Нор.Никель"" ПАО ао";;FNDT;EQIN;EQ-N;2;20272;SUR;15.01.2020;158245476;RU0007288411;NorNickel GMK;1-01-40155-F;20396;20396;SUR;1;1;20.01.2020
GTRK;TQBR;ГТМ ао;58.7;10;100;A;Т+: Акции и ДР - безадрес.;2;"ПАО ""ГТМ"" ао";;FNDT;EQIN;EQ-N;0.05;58.55;SUR;15.01.2020;58462120;RU000A0ZYD22;GTM;1-01-84907-H;58.65;58.65;SUR;1;3;20.01.2020
GTSS;TQBR;ГЕОТЕК ао;;100000;0.01;A;Т+: Акции и ДР - безадрес.;5;ГЕОТЕК Сейсморазведка ПАО ао;;FNDT;EQIN;EQ-N;0.00001;;SUR;15.01.2020;3.854E+11;RU000A0JQ7U3;GEOTECH Seismic Services ao;1-01-55378-E;;;SUR;1;3;20.01.2020
HALS;TQBR;Галс-Девел;803;1;50;A;Т+: Акции и ДР - безадрес.;0;"ПАО ""Галс-Девелопмент""";;FNDT;EQIN;EQ-N;1;810;SUR;15.01.2020;11217094;RU000A0JNP96;Gals-Development ao;1-01-01017-H;815;815;SUR;1;3;20.01.2020
HIMC;TQBR;Химпром ао;0.99;1000;1;A;Т+: Акции и ДР - безадрес.;3;Химпром ПАО ао;;FNDT;EQIN;EQ-N;0.001;0.99;SUR;15.01.2020;688894206;RU0009098990;Himprom ao;1-01-55076-D;0.99;0.99;SUR;1;3;20.01.2020
HIMCP;TQBR;Химпром ап;6.15;1000;1;A;Т+: Акции и ДР - безадрес.;2;Химпром ПАО ап;;FNDT;EQIN;EQ-N;0.01;6.18;SUR;15.01.2020;229631402;RU0009099006;Himprom ap;2-01-55076-D;6.15;6.15;SUR;2;3;20.01.2020
HYDR;TQBR;РусГидро;0.6653;1000;1;A;Т+: Акции и ДР - безадрес.;4;"ПАО ""РусГидро""";;FNDT;EQIN;EQ-N;0.0001;0.6753;SUR;15.01.2020;4.26289E+11;RU000A0JPKH7;RusGidro;1-01-55038-E;0.6653;0.6653;SUR;1;1;20.01.2020
IDVP;TQBR;Инв-Девел;16600;1;1000;A;Т+: Акции и ДР - безадрес.;0;"ПАО ""ИНВЕСТ-ДЕВЕЛОПМЕНТ"" - ао";;FNDT;EQIN;EQ-N;200;16600;SUR;15.01.2020;2110524;RU000A0JV7V4;"PAO ""INVEST-DEVELOPMENT""";1-01-15857-A;16600;16600;SUR;1;3;20.01.2020
IGST;TQBR;Ижсталь2ао;1007;1;1000;A;Т+: Акции и ДР - безадрес.;0;Ижсталь ПАО ао 2в.;;FNDT;EQIN;EQ-N;1;1087;SUR;15.01.2020;800729;RU0002155292;Izhstal 2ao;1-02-30078-D;1007;1007;SUR;1;3;20.01.2020
IGSTP;TQBR;Ижсталь ап;844;1;1000;A;Т+: Акции и ДР - безадрес.;0;Ижсталь ПАО ап;;FNDT;EQIN;EQ-N;1;908;SUR;15.01.2020;266910;RU0002155300;Izhstal ap;2-02-30078-D;833;833;SUR;2;3;20.01.2020
IRAO;TQBR;ИнтерРАОао;5.859;1000;2.8098;A;Т+: Акции и ДР - безадрес.;4;Интер РАО ПАО ао;;FNDT;EQIN;EQ-N;0.0005;5.8815;SUR;15.01.2020;1.044E+11;RU000A0JPNM1;Inter RAO ao;1-04-33498-E;5.859;5.859;SUR;1;1;20.01.2020
IRGZ;TQBR;ИркЭнерго;14.48;100;1;A;Т+: Акции и ДР - безадрес.;2;Иркутскэнерго(ПАО)-ао;;FNDT;EQIN;EQ-N;0.02;14.58;SUR;15.01.2020;4766807700;RU0008960828;IrkutskEnrg;1-01-00041-A;14.48;14.48;SUR;1;3;20.01.2020
IRKT;TQBR;ИРКУТ-3;36.87;100;3;A;Т+: Акции и ДР - безадрес.;2;"Корпорация""ИРКУТ"" ПАО ак.об.-3";;FNDT;EQIN;EQ-N;0.01;36.61;SUR;15.01.2020;1332450553;RU0006752979;IRKUT-3;1-03-00040-A;36.87;36.87;SUR;1;3;20.01.2020
ISKJ;TQBR;iИСКЧ ао;13.2;100;0.1;A;Т+: Акции и ДР - безадрес.;2;"ПАО ""ИСКЧ""";;FNDT;EQIN;EQ-N;0.01;13.12;SUR;15.01.2020;75000000;RU000A0JNAB6;HSCI ao;1-01-08902-A;13.21;13.21;SUR;1;3;20.01.2020
JNOS;TQBR;Славн-ЯНОС;17.5;100;1;A;Т+: Акции и ДР - безадрес.;2;Славнефть-ЯНОС (ПАО) ао;;FNDT;EQIN;EQ-N;0.05;17.25;SUR;15.01.2020;932654723;RU0009100895;Slavneft-JANOS;1-01-00199-A;17.5;17.5;SUR;1;3;20.01.2020
JNOSP;TQBR;Слав-ЯНОСп;12.5;100;1;A;Т+: Акции и ДР - безадрес.;2;Славнефть-ЯНОС (ПАО) ап;;FNDT;EQIN;EQ-N;0.02;12.48;SUR;15.01.2020;310884574;RU0009101927;Slavneft-JANOS (pref);2-01-00199-A;12.5;12.5;SUR;2;3;20.01.2020
KAZT;TQBR;Куйбазот;170;10;1;A;Т+: Акции и ДР - безадрес.;1;Куйбышевазот ПАО ао;;FNDT;EQIN;EQ-N;0.2;167.4;SUR;15.01.2020;234147999;RU000A0B9BV2;Kuib.Azot ao;1-01-00067-A;170;170;SUR;1;3;20.01.2020
KAZTP;TQBR;Куйбазот-п;163.8;10;1;A;Т+: Акции и ДР - безадрес.;1;Куйбышевазот ПАО ап;;FNDT;EQIN;EQ-N;0.2;166.4;SUR;15.01.2020;3696506;RU000A0B9BW0;Kuibishevazot ap;2-01-00067-A;163.8;163.8;SUR;2;3;20.01.2020
KBSB;TQBR;ТНСэКубань;131;10;0.6;A;Т+: Акции и ДР - безадрес.;1;ТНС энерго Кубань ПАО ао;;FNDT;EQIN;EQ-N;0.5;131.5;SUR;15.01.2020;17869440;RU000A0JNJ11;TNS energo Kuban Company;1-01-55218-E;131;131;SUR;1;3;20.01.2020
KBTK;TQBR;КузбТК ао;194.2;10;0.2;A;Т+: Акции и ДР - безадрес.;1;Кузбас.Топл.Комп. ПАО ао;;FNDT;EQIN;EQ-N;0.2;194;SUR;15.01.2020;99258355;RU000A0JPYD7;Kuzbas.Topl. Kompaniya ao;1-02-11330-F;194.2;194.2;SUR;1;3;20.01.2020
KCHE;TQBR;КамчатЭ ао;0.1545;10000;0.1;A;Т+: Акции и ДР - безадрес.;4;Камчатскэнерго ПАО ао;;FNDT;EQIN;EQ-N;0.0005;0.1555;SUR;15.01.2020;41851554774;RU0006753498;Kamchatskenergo;1-02-00235-A;0.1545;0.1545;SUR;1;3;20.01.2020
KCHEP;TQBR;КамчатЭ ап;0.305;10000;0.1;A;Т+: Акции и ДР - безадрес.;3;Камчатскэнерго ПАО ап;;FNDT;EQIN;EQ-N;0.001;0.307;SUR;15.01.2020;183062052;RU0006753480;Kamchatskenergo (pref);2-02-00235-A;0.306;0.306;SUR;2;3;20.01.2020
